Process,Contribution,Unit
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",0.00021759335644644812,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",0.00021395694034029097,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",4.276080061305642e-05,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",2.5645416994930603e-05,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.6370500176400732e-05,CTUh
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",9.960259421888249e-06,CTUh
