Process,Contribution,Unit
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",2.1830900024059232e-07,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",2.146606243087226e-07,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",4.290143680752085e-08,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",2.5729762325231068e-08,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.6424341189975793e-08,CTUh
"treatment of basic oxygen furnace slag, residual material landfill | basic oxygen furnace slag | Cutoff, U",6.648827189502545e-09,CTUh
