Process,Contribution,Unit
"gold mine operation and gold production, unrefined | gold, unrefined | Cutoff, U",0.0088815078391744,kg Sb-Eq
"silver-gold mine operation with refinery | gold | Cutoff, U",0.004330301477507775,kg Sb-Eq
"gold production | gold | Cutoff, U",0.0016024276609549846,kg Sb-Eq
"gold-silver mine operation with refinery | gold | Cutoff, U",0.001578482576122648,kg Sb-Eq
"gold production | gold | Cutoff, U",0.0012824341980390579,kg Sb-Eq
"gold production | gold | Cutoff, U",0.0009869979453814679,kg Sb-Eq
