Process,Contribution,Unit
"uranium production, in yellowcake, in-situ leaching | uranium, in yellowcake | Cutoff, U",4424.500346389618,"MJ, net calorific value"
"uranium mine operation, underground | uranium ore, as U | Cutoff, U",2586.573756803312,"MJ, net calorific value"
"uranium mine operation, underground | uranium ore, as U | Cutoff, U",2441.708248055084,"MJ, net calorific value"
"uranium mine operation, open cast | uranium ore, as U | Cutoff, U",964.4040812833643,"MJ, net calorific value"
"hard coal mine operation and hard coal preparation | hard coal | Cutoff, U",829.2314070863108,"MJ, net calorific value"
"uranium mine operation, open cast | uranium ore, as U | Cutoff, U",672.710990065878,"MJ, net calorific value"
