Process,Contribution,Unit
"treatment of tailing, from uranium milling | tailing, from uranium milling | Cutoff, U",226.67323347072278,kBq U235-Eq
"electricity production, nuclear, boiling water reactor | electricity, high voltage | Cutoff, U",77.25057518900928,kBq U235-Eq
"treatment of spent nuclear fuel, reprocessing | spent nuclear fuel | Cutoff, U",36.81592258305904,kBq U235-Eq
"treatment of low level radioactive waste, plasma torch incineration | low level radioactive waste | Cutoff, U",20.609318005483917,kBq U235-Eq
"electricity production, nuclear, pressure water reactor | electricity, high voltage | Cutoff, U",18.002054674111996,kBq U235-Eq
"uranium mine operation, underground | uranium ore, as U | Cutoff, U",2.6625846758562144,kBq U235-Eq
