Process,Contribution,Unit
"electricity production, lignite | electricity, high voltage | Cutoff, U",29.557232544628462,kg CO2-Eq
"electricity production, natural gas, conventional power plant | electricity, high voltage | Cutoff, U",11.118538050383188,kg CO2-Eq
"market for electricity, high voltage | electricity, high voltage | Cutoff, U",9.424189462456537,kg CO2-Eq
"electricity production, hard coal | electricity, high voltage | Cutoff, U",8.347232819237625,kg CO2-Eq
"clinker production | clinker | Cutoff, U",7.500946770647546,kg CO2-Eq
"heat and power co-generation, natural gas, 500kW electrical, lean burn | electricity, high voltage | Cutoff, U",5.26194796641926,kg CO2-Eq
