Process,Contribution,Unit
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",2.1846313365654622e-07,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",2.148121818499098e-07,CTUh
"coke production | coke | Cutoff, U",8.848925862555906e-08,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",4.293172664897121e-08,CTUh
"coke production | coke | Cutoff, U",2.7562729511016092e-08,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",2.5747928393302008e-08,CTUh
