Process,Contribution,Unit
"clinker production | clinker | Cutoff, U",4.767879898005485,kg CO2-Eq
"market for electricity, high voltage, renewable energy products | electricity, high voltage, renewable energy products | Cutoff, U",4.733039510277868,kg CO2-Eq
"clinker production | clinker | Cutoff, U",2.023744538080156,kg CO2-Eq
"diesel, burned in building machine | diesel, burned in building machine | Cutoff, U",1.8006297363474038,kg CO2-Eq
"pig iron production | pig iron | Cutoff, U",1.561053107818624,kg CO2-Eq
"anaerobic digestion of manure | biogas | Cutoff, U",1.0960453719309362,kg CO2-Eq
