Process,Contribution,Unit
"petroleum and gas production, offshore | petroleum | Cutoff, U",1.8875280472433813e-08,kg CFC-11-Eq
"petroleum and gas production, offshore | petroleum | Cutoff, U",1.5898697692630142e-08,kg CFC-11-Eq
"petroleum and gas production, offshore | petroleum | Cutoff, U",1.4241505789262252e-08,kg CFC-11-Eq
"petroleum and gas production, offshore | petroleum | Cutoff, U",1.0807567408098149e-08,kg CFC-11-Eq
"petroleum and gas production, offshore | petroleum | Cutoff, U",8.362162012502952e-09,kg CFC-11-Eq
"petroleum and gas production, offshore | petroleum | Cutoff, U",7.802333992930474e-09,kg CFC-11-Eq
