Process,Contribution,Unit
"treatment of waste wire plastic, municipal incineration FAE | waste wire plastic | Cutoff, U",2.824770175166523e-08,disease incidence
"electricity production, hard coal, at coal mine power plant | electricity, high voltage, for internal use in coal mining | Cutoff, U",2.1572324673214557e-08,disease incidence
"diesel, burned in building machine | diesel, burned in building machine | Cutoff, U",1.6584962310306934e-08,disease incidence
"heat production, at hard coal industrial furnace 1-10MW | heat, district or industrial, other than natural gas | Cutoff, U",4.9369412251925955e-09,disease incidence
"heat production, at hard coal industrial furnace 1-10MW | heat, district or industrial, other than natural gas | Cutoff, U",3.2380042886908755e-09,disease incidence
"blasting | blasting | Cutoff, U",2.4383939431316513e-09,disease incidence
