Process,Contribution,Unit
"coke production | coke | Cutoff, U",2.0165896674161247e-09,CTUh
"coke production, wet quenching | coke | Cutoff, U",1.871962426509165e-09,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.4993189481783488e-09,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.4742623579383609e-09,CTUh
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014, renewable energy products | electricity, high voltage, renewable energy products | Cutoff, U",1.4723452291726869e-09,CTUh
"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, U",8.902076312067336e-10,CTUh
