Process,Contribution,Unit
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",2.0068598296488597e-08,CTUh
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",1.9083496782140925e-08,CTUh
"carbon dioxide production, liquid | carbon dioxide, liquid | Cutoff, U",6.581084416701514e-09,CTUh
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",6.0175876266094165e-09,CTUh
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",5.159436304765541e-09,CTUh
"molybdenite mine operation | copper concentrate, sulfide ore | Cutoff, U",4.840146221425052e-09,CTUh
