Process,Contribution,Unit
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",1.4955689429061408e-08,CTUh
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",1.4221563802197882e-08,CTUh
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",4.484477207931356e-09,CTUh
"natural gas venting from petroleum/natural gas production | natural gas, vented | Cutoff, U",4.3102453487456044e-09,CTUh
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",3.844958470098972e-09,CTUh
"molybdenite mine operation | copper concentrate, sulfide ore | Cutoff, U",3.6070144316727797e-09,CTUh
