Process,Contribution,Unit
"purified terephthalic acid production | purified terephthalic acid | Cutoff, U",1.3864275475517587e-08,kg CFC-11-Eq
"petroleum and gas production, offshore | natural gas, high pressure | Cutoff, U",6.327436693508684e-09,kg CFC-11-Eq
"petroleum and gas production, offshore | natural gas, high pressure | Cutoff, U",5.841650874532994e-09,kg CFC-11-Eq
"petroleum and gas production, offshore | natural gas, high pressure | Cutoff, U",4.471036457931347e-09,kg CFC-11-Eq
"petroleum and gas production, offshore | natural gas, high pressure | Cutoff, U",3.7204701735349355e-09,kg CFC-11-Eq
"petroleum and gas production, offshore | petroleum | Cutoff, U",3.4831567317165635e-09,kg CFC-11-Eq
