Process,Contribution,Unit
"petroleum and gas production, onshore | petroleum | Cutoff, U",62.89566145706464,"MJ, net calorific value"
"petroleum and gas production, offshore | petroleum | Cutoff, U",45.0150252599791,"MJ, net calorific value"
"petroleum and gas production, onshore | petroleum | Cutoff, U",30.712486248112167,"MJ, net calorific value"
"petroleum and gas production, onshore | petroleum | Cutoff, U",28.222206335081648,"MJ, net calorific value"
"petroleum and gas production, onshore | petroleum | Cutoff, U",24.339079417828245,"MJ, net calorific value"
"petroleum and gas production, onshore | petroleum | Cutoff, U",22.793515221410512,"MJ, net calorific value"
