Process,Contribution,Unit
"zinc mine operation | zinc concentrate | Cutoff, U",0.0007012996980046748,kg Sb-Eq
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",0.00010052202734925198,kg Sb-Eq
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",8.522782119896785e-05,kg Sb-Eq
"silver mine operation with extraction | zinc concentrate | Cutoff, U",4.0284433347354205e-05,kg Sb-Eq
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",3.175466631199998e-05,kg Sb-Eq
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",2.0493637718665576e-05,kg Sb-Eq
