Process,Contribution,Unit
"lignite mine operation | lignite | Cutoff, U",116.04830617186033,CTUe
"treatment of sulfidic tailings, generic, tailings impoundment | sulfidic tailings, generic | Cutoff, U",50.67830711943791,CTUe
"uranium production, in yellowcake | uranium, in yellowcake | Cutoff, U",30.271823465299228,CTUe
"hard coal mine operation and hard coal preparation | hard coal | Cutoff, U",30.07807123897985,CTUe
"treatment of water discharge from petroleum/natural gas extraction, onshore | water discharge from petroleum/natural gas extraction, onshore | Cutoff, U",25.8607498930096,CTUe
"treatment of sulfidic tailings, from copper mine operation, tailings impoundment | sulfidic tailings, from copper mine operation | Cutoff, U",15.529122435036914,CTUe
