Process,Contribution,Unit
"electricity production, hydro, reservoir, tropical region | electricity, high voltage | Cutoff, U",0.008364154477263588,kg CO2-Eq
"electricity production, hydro, reservoir, tropical region | electricity, high voltage | Cutoff, U",0.006063338794763601,kg CO2-Eq
"electricity production, hydro, reservoir, tropical region | electricity, high voltage | Cutoff, U",0.005444410570946147,kg CO2-Eq
"electricity production, hydro, reservoir, non-alpine region | electricity, high voltage | Cutoff, U",0.0037383754093814813,kg CO2-Eq
"electricity production, hydro, reservoir, non-alpine region | electricity, high voltage | Cutoff, U",0.0037147144184874288,kg CO2-Eq
"electricity production, hydro, reservoir, non-alpine region | electricity, high voltage | Cutoff, U",0.0035203653031999982,kg CO2-Eq
