Process,Contribution,Unit
"blasting | blasting | Cutoff, U",0.00453586865532947,kg N-Eq
"blasting | blasting | Cutoff, U",0.00226991159433851,kg N-Eq
"diesel, burned in building machine | diesel, burned in building machine | Cutoff, U",0.0011776793984139848,kg N-Eq
"electricity production, hard coal, conventional | electricity, high voltage | Cutoff, U",0.0008292770234376762,kg N-Eq
"diesel, burned in diesel-electric generating set, 10MW | diesel, burned in diesel-electric generating set, 10MW | Cutoff, U",0.000716745276218715,kg N-Eq
"electricity production, hard coal | electricity, high voltage | Cutoff, U",0.0005859824086274815,kg N-Eq
