Process,Contribution,Unit
"blasting | blasting | Cutoff, U",0.08428461092461115,mol N-Eq
"blasting | blasting | Cutoff, U",0.042271399646786514,mol N-Eq
"diesel, burned in building machine | diesel, burned in building machine | Cutoff, U",0.01898514278258333,mol N-Eq
"diesel, burned in diesel-electric generating set, 10MW | diesel, burned in diesel-electric generating set, 10MW | Cutoff, U",0.0070309257750886915,mol N-Eq
"electricity production, hard coal, conventional | electricity, high voltage | Cutoff, U",0.0064134442593592016,mol N-Eq
"electricity production, hard coal | electricity, high voltage | Cutoff, U",0.005871316841589145,mol N-Eq
