Process,Contribution,Unit
"blasting | blasting | Cutoff, U",0.0015199347808279916,kg N-Eq
"blasting | blasting | Cutoff, U",0.0007659874026065792,kg N-Eq
"ferromanganese production, high-coal, 74.5% Mn | ferromanganese, high-coal, 74.5% Mn | Cutoff, U",0.00022810783781457639,kg N-Eq
"diesel, burned in building machine | diesel, burned in building machine | Cutoff, U",0.0002256190265270882,kg N-Eq
"heat production, at hard coal industrial furnace 1-10MW | heat, district or industrial, other than natural gas | Cutoff, U",0.00016223843977754637,kg N-Eq
"transport, freight, sea, bulk carrier for dry goods, heavy fuel oil | transport, freight, sea, bulk carrier for dry goods, heavy fuel oil | Cutoff, U",0.00011549824180118138,kg N-Eq
