Process,Contribution,Unit
"tin mine operation | tin concentrate | Cutoff, U",0.0012973040365243107,kg Sb-Eq
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",0.0004702385289708593,kg Sb-Eq
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",0.000398692767394651,kg Sb-Eq
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",0.00014854721863731386,kg Sb-Eq
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",9.586852064378635e-05,kg Sb-Eq
"tin mine operation | tin concentrate | Cutoff, U",7.828065985332633e-05,kg Sb-Eq
