Process,Contribution,Unit
"blasting | blasting | Cutoff, U",2.952649834699702,kg NMVOC-Eq
"blasting | blasting | Cutoff, U",1.4831562625183246,kg NMVOC-Eq
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",0.8267985506337968,kg NMVOC-Eq
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",0.7397422148776871,kg NMVOC-Eq
"natural gas venting from petroleum/natural gas production | natural gas, vented | Cutoff, U",0.4651791352367694,kg NMVOC-Eq
"diesel, burned in building machine | diesel, burned in building machine | Cutoff, U",0.35637153820966944,kg NMVOC-Eq
