Process,Contribution,Unit
"blasting | blasting | Cutoff, U",0.006296658248532563,kg N-Eq
"blasting | blasting | Cutoff, U",0.0031498691148027997,kg N-Eq
"electricity production, hard coal | electricity, high voltage | Cutoff, U",0.0024098967339022787,kg N-Eq
"treatment of spoil from lignite mining, in surface landfill | spoil from lignite mining | Cutoff, U",0.002098288647535922,kg N-Eq
"diesel, burned in building machine | diesel, burned in building machine | Cutoff, U",0.0020568671420925556,kg N-Eq
"treatment of spoil from hard coal mining, in surface landfill | spoil from hard coal mining | Cutoff, U",0.001690500379921388,kg N-Eq
