Process,Contribution,Unit
"treatment of copper scrap by electrolytic refining | copper, cathode | Cutoff, U",2.2284648188205795e-08,CTUh
"coke production | coke | Cutoff, U",1.3871837001301102e-08,CTUh
"coke production, wet quenching | coke | Cutoff, U",1.3687021425232493e-08,CTUh
"chlor-alkali electrolysis, membrane cell | sodium hydroxide, without water, in 50% solution state | Cutoff, U",9.707498797903152e-09,CTUh
"treatment of waste polyvinylchloride, open burning | waste polyvinylchloride | Cutoff, U",9.628846046243044e-09,CTUh
"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, U",8.83121645352839e-09,CTUh
