Process,Contribution,Unit
"zinc mine operation | zinc concentrate | Cutoff, U",5.961373973503669e-09,CTUh
"treatment of redmud from bauxite digestion, residual material landfill | redmud from bauxite digestion | Cutoff, U",1.6253578566740888e-09,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.0954520709890176e-09,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.0771448964524268e-09,CTUh
"treatment of redmud from bauxite digestion, residual material landfill | redmud from bauxite digestion | Cutoff, U",9.700420948213745e-10,CTUh
"treatment of lignite ash, opencast refill | lignite ash | Cutoff, U",9.593566821595442e-10,CTUh
