Process,Contribution,Unit
"blasting | blasting | Cutoff, U",0.01481763717690362,mol N-Eq
"blasting | blasting | Cutoff, U",0.007443367930119314,mol N-Eq
"diesel, burned in building machine | diesel, burned in building machine | Cutoff, U",0.0017222957057233912,mol N-Eq
"zinc coating, coils | zinc coat, coils | Cutoff, U",0.0006440783081189517,mol N-Eq
"electricity production, hard coal | electricity, high voltage | Cutoff, U",0.000604727685642813,mol N-Eq
"heat production, at hard coal industrial furnace 1-10MW | heat, district or industrial, other than natural gas | Cutoff, U",0.0005871836476167564,mol N-Eq
