Process,Contribution,Unit
"gold production | gold | Cutoff, U",2.4132735969466454e-07,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.90280241490168e-07,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.8710028165071598e-07,CTUh
"treatment of sewage sludge, 97% water, WWT, WW from wafer fabrication, landfarming | sewage sludge, 97% water, WWT, WW from wafer fabrication | Cutoff, U",1.118585284710172e-07,CTUh
"gold mine operation and gold production, unrefined | gold, unrefined | Cutoff, U",9.208416903299814e-08,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",3.7393308324502e-08,CTUh
