Process,Contribution,Unit
"zinc mine operation | zinc concentrate | Cutoff, U",5.961373973503667e-09,CTUh
"treatment of redmud from bauxite digestion, residual material landfill | redmud from bauxite digestion | Cutoff, U",1.625357856674089e-09,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.0954520709890207e-09,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.0771448964524302e-09,CTUh
"treatment of redmud from bauxite digestion, residual material landfill | redmud from bauxite digestion | Cutoff, U",9.70042094821375e-10,CTUh
"treatment of lignite ash, opencast refill | lignite ash | Cutoff, U",9.5935668215957e-10,CTUh
