Process,Contribution,Unit
"gold mine operation and gold production, unrefined | gold, unrefined | Cutoff, U",0.002150076468287198,kg Sb-Eq
"silver-gold mine operation with refinery | gold | Cutoff, U",0.0010482993964507081,kg Sb-Eq
"silver-gold mine operation with refinery | silver | Cutoff, U",0.00046570050195590907,kg Sb-Eq
"gold production | gold | Cutoff, U",0.0003879230946298505,kg Sb-Eq
"gold-silver mine operation with refinery | gold | Cutoff, U",0.0003821263578187807,kg Sb-Eq
"gold production | gold | Cutoff, U",0.0003104575981083475,kg Sb-Eq
