Process,Contribution,Unit
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",7.0998051488002116e-09,CTUh
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",6.751299054835478e-09,CTUh
"acrylic acid production, propylene oxidation | acrylic acid | Cutoff, U",2.5483195872345857e-09,CTUh
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",2.128883093057542e-09,CTUh
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",1.8252890361500955e-09,CTUh
"molybdenite mine operation | copper concentrate, sulfide ore | Cutoff, U",1.712331601646147e-09,CTUh
