Process,Contribution,Unit
"coke production | coke | Cutoff, U",1.0079434708371172e-08,CTUh
"coke production, wet quenching | coke | Cutoff, U",9.356399612144298e-09,CTUh
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014, renewable energy products | electricity, high voltage, renewable energy products | Cutoff, U",6.751137987277144e-09,CTUh
"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, U",4.451038156033685e-09,CTUh
"coke production | coke | Cutoff, U",3.140464189425554e-09,CTUh
"coke production, dry quenching | coke | Cutoff, U",2.4696117534954294e-09,CTUh
