Process,Contribution,Unit
"hard coal mine operation and hard coal preparation | hard coal | Cutoff, U",1185.2022387618028,"MJ, net calorific value"
"petroleum and gas production, onshore | natural gas, high pressure | Cutoff, U",234.13640437234892,"MJ, net calorific value"
"hard coal mine operation | hard coal, run-of-mine | Cutoff, U",200.87254283303238,"MJ, net calorific value"
"uranium production, in yellowcake, in-situ leaching | uranium, in yellowcake | Cutoff, U",197.2079017267229,"MJ, net calorific value"
"lignite mine operation | lignite | Cutoff, U",133.75204243170435,"MJ, net calorific value"
"petroleum and gas production, onshore | natural gas, high pressure | Cutoff, U",126.43560970881023,"MJ, net calorific value"
