Process,Contribution,Unit
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",2.1568661428820786e-05,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",2.120820636213626e-05,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",4.238609330314327e-06,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",2.5420689555874253e-06,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.6227047621839377e-06,CTUh
"treatment of copper scrap by electrolytic refining | copper, cathode | Cutoff, U",3.0593819942006606e-07,CTUh
