Flow,Unit,Amount,Direction,UUID,UUID_provider
"electricity, high voltage, renewable energy products",MJ,60663.25065465198,Input,5f9b49ad-6aa8-42ee-8d55-af2982e9f0f8,d570f007-9712-351d-90e7-a05f4029dc48
use_renewables,MJ,1,Output,,
