Ecoinvent_flow_reference,Ecoinvent_process,UUID_provider
"polyester resin, unsaturated","market for polyester resin, unsaturated | polyester resin, unsaturated | Cutoff, U",e6527622-8abc-3acd-ab99-e802a07c198f
polytetrafluoroethylene,"polytetrafluoroethylene production, emulsion polymerization | polytetrafluoroethylene | Cutoff, U",8ff16422-4d71-3a6a-8b8f-9a273275f073
"aluminium alloy, AlMg3","aluminium alloy production, AlMg3 | aluminium alloy, AlMg3 | Cutoff, U",7bdbbe9c-3781-3552-9841-3ad084af346d
nylon 6,"nylon 6 production | nylon 6 | Cutoff, U",1b7bae70-5229-3aa6-8571-bdae966d5782
"polyethylene, high density, granulate","polyethylene, high density, pellets, recycled to generic market for polyethylene, high density, granulate | polyethylene, high density, granulate | Cutoff, U",80a6cdef-10a5-3a94-8630-e1cf66671ff2
tap water,"tap water production, conventional treatment | tap water | Cutoff, U",645250d8-630c-3103-8d85-f8f40ab69520
"hazardous waste, for incineration","treatment of hazardous waste, hazardous waste incineration, with energy recovery | hazardous waste, for incineration | Cutoff, U",809fc4b5-6007-334f-8a1d-4f41599411e4
glass fibre,"glass fibre production | glass fibre | Cutoff, U",faa4d61b-9987-3a7c-99df-194c111f2835
"mounting, through-hole technology, Pb-free solder","mounting, through-hole technology, Pb-free solder | mounting, through-hole technology, Pb-free solder | Cutoff, U",6a7aefa1-7d5c-3a95-b8a8-98f310fd8aba
"mounting, surface mount technology, Pb-free solder","mounting, surface mount technology, Pb-free solder | mounting, surface mount technology, Pb-free solder | Cutoff, U","dc812936-7e39-3ce7-b0e1-89bd03cfd262
steel"
"extrusion, plastic pipes","market for extrusion, plastic pipes | extrusion, plastic pipes | Cutoff, U",9c50ed69-94ad-322b-989f-839b77e10648
rolling mill,"market for rolling mill | rolling mill | Cutoff, U",9c50ed69-94ad-322b-989f-839b77e10648
"metal working, average for chromium steel product manufacturing","market for metal working, average for chromium steel product manufacturing | metal working, average for chromium steel product manufacturing | Cutoff, U",f18bb0cd-c83f-3c17-924d-19d03903c7aa
"market for steel, low-alloyed","market for steel, low-alloyed | steel, low-alloyed | Cutoff, U",b784237b-e38b-345f-91ab-4f8f10f4ef10
"metal working, average for metal product manufacturing","market for metal working, average for metal product manufacturing | metal working, average for metal product manufacturing | Cutoff, U",95bd0c27-2d67-3962-90f1-fcb39e7b7905
