Process,Contribution,Unit
"treatment of water discharge from petroleum/natural gas extraction, onshore | water discharge from petroleum/natural gas extraction, onshore | Cutoff, U",0.18313797779574617,CTUe
"natural gas venting from petroleum/natural gas production | natural gas, vented | Cutoff, U",0.038309041487166885,CTUe
"soybean production | soybean | Cutoff, U",0.014677816302663292,CTUe
"ferromanganese production, high-coal, 74.5% Mn | ferromanganese, high-coal, 74.5% Mn | Cutoff, U",0.009403473834331148,CTUe
"sugarcane production | sugarcane | Cutoff, U",0.007790463670271218,CTUe
"soybean production | soybean | Cutoff, U",0.007567070781179239,CTUe
