Process,Contribution,Unit
"chloroform production | chloroform | Cutoff, U",6.119411063476422e-10,CTUh
"chloroform production | chloroform | Cutoff, U",2.8245527058876043e-10,CTUh
"grain oriented electrical steel production, 0.23 mm coil | grain oriented electrical steel, 0.23 mm coil | Cutoff, S",1.9338261582159603e-10,CTUh
"anode production, for metal electrolysis | anode, for metal electrolysis | Cutoff, U",1.9031445148074448e-10,CTUh
"treatment of copper scrap by electrolytic refining | copper, cathode | Cutoff, U",1.736795926191313e-10,CTUh
"soy-based resin production | polyester resin, unsaturated | Cutoff, S",1.6808958618337567e-10,CTUh
