Process,Contribution,Unit
"coke production | coke | Cutoff, U",4.055780720978382e-09,CTUh
"coke production, wet quenching | coke | Cutoff, U",3.764905296554365e-09,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",3.015441853577894e-09,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",2.9650478456788994e-09,CTUh
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014, renewable energy products | electricity, high voltage, renewable energy products | Cutoff, U",2.961192101492034e-09,CTUh
"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, U",1.7903924663772832e-09,CTUh
