Process,Contribution,Unit
"gold production | gold | Cutoff, U",4.7781477537292435e-09,CTUh
"market for wastewater from wafer fabrication | wastewater from wafer fabrication | Cutoff, U",3.0828162805355323e-09,CTUh
"treatment of sewage sludge, 97% water, WWT, WW from wafer fabrication, landfarming | sewage sludge, 97% water, WWT, WW from wafer fabrication | Cutoff, U",2.297648130298202e-09,CTUh
"gold mine operation and gold production, unrefined | gold, unrefined | Cutoff, U",1.918744460050936e-09,CTUh
"zinc mine operation | zinc concentrate | Cutoff, U",1.4399461773608551e-09,CTUh
"chlor-alkali electrolysis, membrane cell | sodium hydroxide, without water, in 50% solution state | Cutoff, U",1.2056466924483882e-09,CTUh
