Process,Contribution,Unit
"electricity production, hydro, pumped storage | electricity, high voltage | Cutoff, U",0.00028924354478863045,kg CO2-Eq
"electricity production, hydro, reservoir, non-alpine region | electricity, high voltage | Cutoff, U",0.0001824479096574144,kg CO2-Eq
"electricity production, hydro, reservoir, non-alpine region | electricity, high voltage | Cutoff, U",0.0001611608694372874,kg CO2-Eq
"electricity production, hydro, reservoir, tropical region | electricity, high voltage | Cutoff, U",0.00011099669416613301,kg CO2-Eq
"electricity production, hydro, reservoir, non-alpine region | electricity, high voltage | Cutoff, U",8.890480512610785e-05,kg CO2-Eq
"electricity production, hydro, pumped storage | electricity, high voltage | Cutoff, U",8.724463466907304e-05,kg CO2-Eq
