Process,Contribution,Unit
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",2.8008977115159823e-07,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",2.754089161309339e-07,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",5.504241054766631e-08,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",3.3011205371820405e-08,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",2.1072378876483502e-08,CTUh
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",1.2821500903701718e-08,CTUh
