Process,Contribution,Unit
"gold production | gold | Cutoff, U",5.48716868696797e-07,CTUh
"treatment of sewage sludge, 97% water, WWT, WW from wafer fabrication, landfarming | sewage sludge, 97% water, WWT, WW from wafer fabrication | Cutoff, U",2.5587470980553274e-07,CTUh
"gold mine operation and gold production, unrefined | gold, unrefined | Cutoff, U",2.0937446803728981e-07,CTUh
"market for wastewater from wafer fabrication | wastewater from wafer fabrication | Cutoff, U",6.261610905284311e-08,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",4.1064891196374615e-08,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",4.037861550219534e-08,CTUh
