Process,Contribution,Unit
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",5.4118337455677386e-06,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",5.321391281157888e-06,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.0635175058857357e-06,CTUh
"gold production | gold | Cutoff, U",7.377152396126614e-07,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",6.378353428565227e-07,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",4.071559294516974e-07,CTUh
