Process,Contribution,Unit
"electricity production, lignite | electricity, high voltage | Cutoff, U",14.861900331955926,kg CO2-Eq
"electricity production, natural gas, conventional power plant | electricity, high voltage | Cutoff, U",5.590597972674019,kg CO2-Eq
"market for electricity, high voltage | electricity, high voltage | Cutoff, U",4.738649475691597,kg CO2-Eq
"electricity production, hard coal | electricity, high voltage | Cutoff, U",4.19713658982888,kg CO2-Eq
"clinker production | clinker | Cutoff, U",3.771608966852672,kg CO2-Eq
"heat and power co-generation, natural gas, 500kW electrical, lean burn | electricity, high voltage | Cutoff, U",2.645800688910342,kg CO2-Eq
