Process,Contribution,Unit
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",1.3140734751374775e-08,CTUh
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",1.2495699282929259e-08,CTUh
"chlorobenzenes production, benzene chlorination | p-dichlorobenzene | Cutoff, U",3.9421703177800086e-09,CTUh
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",3.940261381297619e-09,CTUh
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",3.378351738666269e-09,CTUh
"molybdenite mine operation | copper concentrate, sulfide ore | Cutoff, U",3.1692835101863648e-09,CTUh
