Process,Contribution,Unit
"coke production | coke | Cutoff, U",1.984754279493119e-09,CTUh
"coke production, wet quenching | coke | Cutoff, U",1.8551368147368162e-09,CTUh
"uranium production, in yellowcake, in-situ leaching | uranium, in yellowcake | Cutoff, U",1.8048903790065052e-09,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.5795649483287318e-09,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.5531672884340121e-09,CTUh
"treatment of lignite ash, opencast refill | lignite ash | Cutoff, U",1.0126210423806333e-09,CTUh
