Process,Contribution,Unit
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",5.4945106713192145e-06,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",5.402686511671422e-06,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.0797649299573865e-06,CTUh
"gold production | gold | Cutoff, U",7.380669281587487e-07,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",6.475795936525132e-07,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",4.1337607628753123e-07,CTUh
