Process,Contribution,Unit
"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, U",2.7453130292778953e-08,CTUh
"mounting, surface mount technology, Pb-free solder | mounting, surface mount technology, Pb-free solder | Cutoff, U",1.4815725240080486e-08,CTUh
"chlor-alkali electrolysis, membrane cell | sodium hydroxide, without water, in 50% solution state | Cutoff, U",1.2619716584879455e-08,CTUh
"chlor-alkali electrolysis, membrane cell | potassium hydroxide | Cutoff, U",1.0086141294277974e-08,CTUh
"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, U",6.043067396408976e-09,CTUh
"chlorobenzenes production, benzene chlorination | p-dichlorobenzene | Cutoff, U",5.504003050831488e-09,CTUh
