Process,Contribution,Unit
"coke production | coke | Cutoff, U",4.009180373160505e-09,CTUh
"coke production, wet quenching | coke | Cutoff, U",3.7215870506409865e-09,CTUh
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014, renewable energy products | electricity, high voltage, renewable energy products | Cutoff, U",2.685322212823157e-09,CTUh
"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, U",1.7704380584496528e-09,CTUh
"coke production | coke | Cutoff, U",1.2491461828113755e-09,CTUh
"coke production, dry quenching | coke | Cutoff, U",9.823089546100527e-10,CTUh
