Flow,UUID,Unit,Amount,Direction,UUID_provider
"transport, freight, lorry, >32 metric ton, diesel, EURO 4",fea783cd-1b3e-47ed-a4a1-346094ebc39a,tkm,0.1,Input,398aa54a-73b1-3723-bc32-8abcea91d478
S1,,tkm,1,Output,
