Process,Contribution,Unit
"coke production | coke | Cutoff, U",8.842641993242125e-08,CTUh
"coke production | coke | Cutoff, U",2.7551148772881017e-08,CTUh
"coke production, wet quenching | coke | Cutoff, U",1.5450109840671767e-08,CTUh
"treatment of municipal solid waste, open burning | municipal solid waste | Cutoff, U",1.1832253304592867e-08,CTUh
"coke production, wet quenching | coal gas | Cutoff, U",4.491921766528739e-09,CTUh
"coke production, dry quenching | coke | Cutoff, U",4.078040104849034e-09,CTUh
