Process,Contribution,Unit
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",0.0001902266882406721,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",0.0001870476233820924,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",3.7382784198851874e-05,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",2.241999858436547e-05,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.4311585998106802e-05,CTUh
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",8.706906611794967e-06,CTUh
