Process,Contribution,Unit
"coke production | coke | Cutoff, U",1.984062647503694e-09,CTUh
"coke production, wet quenching | coke | Cutoff, U",1.8544604451539371e-09,CTUh
"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, U",9.17221455376959e-10,CTUh
"chlor-alkali electrolysis, average production | sodium hypochlorite, without water, in 15% solution state | Cutoff, U",7.538319400766099e-10,CTUh
"coke production | coke | Cutoff, U",6.181772960826204e-10,CTUh
"coke production, dry quenching | coke | Cutoff, U",4.894828675124247e-10,CTUh
