Process,Contribution,Unit
"uranium production, in yellowcake, in-situ leaching | uranium, in yellowcake | Cutoff, U",8697.078750377488,"MJ, net calorific value"
"uranium mine operation, underground | uranium ore, as U | Cutoff, U",5084.333573379544,"MJ, net calorific value"
"uranium mine operation, underground | uranium ore, as U | Cutoff, U",4799.57673324845,"MJ, net calorific value"
"uranium mine operation, open cast | uranium ore, as U | Cutoff, U",1895.6938830281827,"MJ, net calorific value"
"uranium mine operation, open cast | uranium ore, as U | Cutoff, U",1322.3234261065077,"MJ, net calorific value"
"hard coal mine operation and hard coal preparation | hard coal | Cutoff, U",833.3668343618159,"MJ, net calorific value"
