Process,Contribution,Unit
"treatment of waste wire plastic, municipal incineration FAE | waste wire plastic | Cutoff, U",40.40728664313469,m3 world Eq deprived
"hydrogen peroxide production, product in 50% solution state | hydrogen peroxide, without water, in 50% solution state | Cutoff, U",0.41151021345751765,m3 world Eq deprived
"water production, decarbonised | water, decarbonised | Cutoff, U",0.2700012049066341,m3 world Eq deprived
"electricity production, hydro, reservoir, alpine region | electricity, high voltage | Cutoff, U",0.20868022003419823,m3 world Eq deprived
"gravel and sand quarry operation | gravel, round | Cutoff, U",0.08105441221341575,m3 world Eq deprived
"electricity production, hydro, reservoir, alpine region | electricity, high voltage | Cutoff, U",0.0770336537045418,m3 world Eq deprived
