Process,Contribution,Unit
"electricity production, hydro, reservoir, alpine region | electricity, high voltage | Cutoff, U",2749.321166967201,m3 world Eq deprived
"electricity production, hydro, reservoir, alpine region | electricity, high voltage | Cutoff, U",189.9188171445266,m3 world Eq deprived
"electricity production, nuclear, pressure water reactor | electricity, high voltage | Cutoff, U",116.05660274606603,m3 world Eq deprived
"electricity production, nuclear, boiling water reactor | electricity, high voltage | Cutoff, U",82.78419068765298,m3 world Eq deprived
"electricity production, hydro, reservoir, alpine region | electricity, high voltage | Cutoff, U",30.448493724689005,m3 world Eq deprived
"hot rolling, steel | hot rolling, steel | Cutoff, U",15.697848073823947,m3 world Eq deprived
