Process,Contribution,Unit
"petroleum and gas production, offshore | petroleum | Cutoff, U",1.8956643661048276e-07,kg CFC-11-Eq
"petroleum and gas production, offshore | petroleum | Cutoff, U",7.197422599046202e-08,kg CFC-11-Eq
"petroleum and gas production, offshore | petroleum | Cutoff, U",6.558228085798849e-08,kg CFC-11-Eq
"petroleum and gas production, offshore | petroleum | Cutoff, U",5.689655680677864e-08,kg CFC-11-Eq
"petroleum and gas production, offshore | petroleum | Cutoff, U",5.146833037771459e-08,kg CFC-11-Eq
"petroleum and gas production, offshore | petroleum | Cutoff, U",4.52820163706587e-08,kg CFC-11-Eq
