Process,Contribution,Unit
"gold production | gold | APOS, U",3.274818341168044e-09,CTUh
"market for wastewater from wafer fabrication | wastewater from wafer fabrication | APOS, U",2.497768401940323e-09,CTUh
"mounting, surface mount technology, Pb-free solder | mounting, surface mount technology, Pb-free solder | APOS, U",2.2019359589798623e-09,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | APOS, U",2.0548746476437473e-09,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | APOS, U",2.0206143971127222e-09,CTUh
