Process,Contribution,Unit
"electricity production, hydro, reservoir, alpine region, renewable energy products | electricity, high voltage, renewable energy products | Cutoff, U",3964.3286328144513,m3 world Eq deprived
"electricity production, hydro, reservoir, alpine region | electricity, high voltage | Cutoff, U",148.228360053071,m3 world Eq deprived
"gravel and sand quarry operation | gravel, round | Cutoff, U",9.124880517961584,m3 world Eq deprived
"gravel and sand quarry operation | gravel, round | Cutoff, U",1.4343208371941696,m3 world Eq deprived
"electricity production, hydro, reservoir, alpine region | electricity, high voltage | Cutoff, U",1.213853271423936,m3 world Eq deprived
"electricity production, hydro, reservoir, alpine region | electricity, high voltage | Cutoff, U",1.170422913085763,m3 world Eq deprived
