Process,Contribution,Unit
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",2.1854382934432148e-07,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",2.1489152895285918e-07,CTUh
"coke production | coke | Cutoff, U",8.84572448364698e-08,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",4.294758472603589e-08,CTUh
"coke production | coke | Cutoff, U",2.7552757821536525e-08,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",2.5757439136628394e-08,CTUh
