Process,Contribution,Unit
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",5.338801735701327e-06,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",5.249579780875412e-06,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.0491654720586506e-06,CTUh
"gold production | gold | Cutoff, U",7.375854784033186e-07,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",6.292278358186739e-07,CTUh
