Process,Contribution,Unit
"blasting | blasting | APOS, U",0.007587341634356014,kg N-Eq
"diesel, burned in building machine | diesel, burned in building machine | APOS, U",0.004140955875561074,kg N-Eq
"blasting | blasting | APOS, U",0.0037884891906205904,kg N-Eq
"diesel, burned in diesel-electric generating set, 10MW | diesel, burned in diesel-electric generating set, 10MW | APOS, U",0.002809379922669133,kg N-Eq
"electricity production, hard coal, conventional | electricity, high voltage | APOS, U",0.0022906837046278838,kg N-Eq
