Process,Contribution,Unit
"electricity production, hydro, reservoir, tropical region | electricity, high voltage | APOS, U",0.008610902120472948,kg CO2-Eq
"electricity production, hydro, reservoir, tropical region | electricity, high voltage | APOS, U",0.006395552768616362,kg CO2-Eq
"electricity production, hydro, reservoir, tropical region | electricity, high voltage | APOS, U",0.005799271873403214,kg CO2-Eq
"electricity production, hydro, reservoir, non-alpine region | electricity, high voltage | APOS, U",0.00480580677289611,kg CO2-Eq
"electricity production, hydro, reservoir, non-alpine region | electricity, high voltage | APOS, U",0.004180152757635605,kg CO2-Eq
